
=======================================================
[INFO] TANGGAL & WAKTU EKSEKUSI SIMULASI : 2026-06-09 21:25:20
=======================================================

=======================================================
[INFO] Skenario Range / Pathloss Degradation (Wi-Fi 6)
=======================================================
[SPESIFIKASI SIMULASI]
- Standar Wi-Fi     : Wi-Fi 6 (802.11ax)
- Konfigurasi MIMO  : 8x8 Spatial Streams
- Fitur Spesial     : Single-Link (Non-MLO)
    * Link 0        : Frekuensi 5 GHz (Lebar Pita 160 MHz)
- Tx Power          : 20.0 dBm
- Rate Adaptation   : IdealWifiManager (Otomatis menyesuaikan hingga 1024-QAM)
- Propagation Model : HybridBuildingsPropagationLossModel (Redaman Tembok/Indoor)
- Jarak Uji         : 0 hingga 650 meter
=======================================================

[INFO] Waktu: 0.2s | Jarak: 1 m | RSSI: -5.71343 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 0
[INFO] Waktu: 0.4s | Jarak: 3 m | RSSI: -16.4487 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 0
[INFO] Waktu: 0.6s | Jarak: 5 m | RSSI: -21.4341 dBm | Tput: 588.564 Mbps | Delay: 33.52 ms | Jitter: 0.00743132 ms | Drop: 8133
[INFO] Waktu: 0.8s | Jarak: 7 m | RSSI: -24.722 dBm | Tput: 1350.24 Mbps | Delay: 109.766 ms | Jitter: 0.00996422 ms | Drop: 60493
[INFO] Waktu: 1s | Jarak: 9 m | RSSI: -27.1777 dBm | Tput: 1352.71 Mbps | Delay: 124.349 ms | Jitter: 0.0122412 ms | Drop: 61973
[INFO] Waktu: 1.2s | Jarak: 11 m | RSSI: -29.1386 dBm | Tput: 1357.13 Mbps | Delay: 124.72 ms | Jitter: 0.0122594 ms | Drop: 61888
[INFO] Waktu: 1.4s | Jarak: 13 m | RSSI: -30.771 dBm | Tput: 1360.66 Mbps | Delay: 124.304 ms | Jitter: 0.0121547 ms | Drop: 61826
[INFO] Waktu: 1.6s | Jarak: 15 m | RSSI: -32.1693 dBm | Tput: 1370.02 Mbps | Delay: 123.416 ms | Jitter: 0.0120483 ms | Drop: 61622
[INFO] Waktu: 1.8s | Jarak: 17 m | RSSI: -33.3924 dBm | Tput: 1365.6 Mbps | Delay: 124.045 ms | Jitter: 0.0121636 ms | Drop: 61735
[INFO] Waktu: 2s | Jarak: 19 m | RSSI: -34.4792 dBm | Tput: 1373.55 Mbps | Delay: 123.292 ms | Jitter: 0.0119681 ms | Drop: 61616
[INFO] Waktu: 2.2s | Jarak: 21 m | RSSI: -35.4572 dBm | Tput: 1363.48 Mbps | Delay: 123.56 ms | Jitter: 0.0120529 ms | Drop: 61741
[INFO] Waktu: 2.4s | Jarak: 23 m | RSSI: -36.3462 dBm | Tput: 1352.71 Mbps | Delay: 124.52 ms | Jitter: 0.0122507 ms | Drop: 61995
